speciality_id,speciality_name,diseases
96,Bệnh lý tuyến Giáp,Bệnh Addison (suy tuyến thượng thận nguyên phát)|Bệnh Basedow|Suy giáp|Suy giáp bẩm sinh|U tuyến thượng thận|Bệnh u tuyến yên|Rối loạn nội tiết tố|Dậy thì muộn|Dậy thì sớm|Dậy thì sớm ở nam|Bệnh Gai đen|Hạ canxi máu|Hạ kali máu|Tăng tiết mồ hôi
7,Da liễu,Bạch biến|Bạch sản|Bạch tạng|Bệnh lang ben|Bệnh vảy nến|Bệnh ghẻ|Bệnh giời leo|Bệnh Nám da|Bệnh phong|Bệnh Rôm sảy|Bệnh xơ cứng bì toàn thể|Chấy rận (chí rận)|Chốc đầu (Nấm da đầu)|Chốc mép|Lichen nitidus|Lichen xơ hóa|Mụn cóc|Mụn rộp lành tính|Nấm da đùi|Nấm da (hắc lào)|Nấm móng|Viêm da cơ địa|Lao da và mô dưới da|Bệnh Rậm lông|Móng quặp (móng mọc ngược)
11,Dinh dưỡng,Beriberi|Còi xương|Không dung nạp Lactose|Suy dinh dưỡng|Suy dinh dưỡng thể thấp còi|Dị ứng sữa|Dị ứng thực phẩm|Chán ăn thần kinh (biếng ăn tâm lý)|Ngộ độc thực phẩm|Tăng acid uric máu|Rối loạn lipid máu|Bệnh hạ đường huyết|Alkapton niệu
46,Di truyền y học,Bệnh Down|Bệnh loạn dưỡng cơ Duchenne|Thalassemia (Tan máu bẩm sinh)|Bệnh giãn mao mạch xuất huyết di truyền|Bệnh máu khó đông|Bạch tạng
10,Hen - Dị ứng miễn dịch,Hen phế quản|Hen suyễn|Dị ứng thời tiết|Bệnh xơ cứng bì toàn thể|Bệnh Still ở người lớn
131,Hen - Dị ứng miễn dịch nhi,Bệnh Kawasaki
57,Hô hấp,Áp xe phổi|Bệnh lao phổi|Cúm|Giãn phế quản|Khí phế thũng|Lao màng phổi|Lao phổi|Bệnh Legionnaire|Bệnh Dại|Hội chứng tăng thông khí|Bệnh Ngủ ngáy|Hội chứng ngừng thở khi ngủ
27,Hỗ trợ sinh sản,Tắc ống dẫn trứng|Tắc vòi trứng|Lạc nội mạc tử cung|Bệnh suy buồng trứng|Mãn kinh sớm|Giãn tĩnh mạch thừng tinh|Tắc ống dẫn tinh|Tắc ống phóng tinh
38,Huyết học,Bạch cầu cấp|Bệnh bạch cầu cấp|Leukemia kinh dòng bạch cầu hạt|Rối loạn sinh tủy (MDS)|U lympho không Hodgkin|U lympho tế bào T|Xuất huyết giảm tiểu cầu|Bệnh Cường lách|U lách (lành tính)
24,Mắt,Bệnh giác mạc chóp|Bệnh khô mắt|Bệnh lác mắt|Bệnh Lao ở mắt|Bệnh mù màu|Bệnh Rách (bong) võng mạc|Cận thị|Mộng thịt|Quáng gà|Rách giác mạc|Tắc tuyến lệ|Teo dây thần kinh thị giác|Viêm dây thần kinh thị giác|Xuất huyết võng mạc|U nguyên bào võng mạc|Bệnh Song thị|Liệt dây thần kinh số 6
26,Nam khoa,Hẹp bao quy đầu|Liệt dương|Mãn dục nam|Nang nước thừng tinh|Phì đại tiền liệt tuyến|Rối loạn cương dương|Rối loạn xuất tinh|Bệnh Xuất tinh ngược|Tắc ống dẫn tinh|Tắc ống phóng tinh
47,Ngoại chấn thương chỉnh hình,Bàn chân phẳng|Bệnh gai cột sống|Bệnh gù cột sống|Bệnh khoèo chân bẩm sinh|Bệnh lao xương|Bệnh vẹo cột sống|Bệnh xẹp đốt sống|Căng cơ quá mức|Chấn thương dây chằng chéo sau|Chấn thương dây chằng chéo trước|Chấn thương sụn chêm|Gãy xương|Gãy xương mác|Hoại tử chỏm xương đùi|Lao cơ xương|Bệnh lao cột sống|Ngón chân hình búa|U sụn màng hoạt dịch|U tế bào khổng lồ|U xương ác tính|Viêm chóp xoay|Viêm cột sống dính khớp|Viêm gân chóp xoay|Viêm gân nhị đầu vai|Viêm lồi cầu ngoài xương cánh tay|Viêm cân gan chân
60,Ngoại nhi,Hẹp đường mật bẩm sinh|Hẹp hậu môn|U nang ống mật chủ|Vàng da bệnh lý|Vàng da sơ sinh|Bệnh teo thực quản
62,Ngoại Thần kinh,Áp xe não|Áp xe não do amip|Chấn thương sọ não|Dị dạng mạch máu não|Giãn não thất|Não úng thủy|U màng não|U não|U nguyên bào thần kinh|Bệnh Moyamoya|Xơ vữa động mạch não
22,Ngoại Thận - Tiết niệu,Áp xe thận|Hẹp niệu đạo|Hẹp niệu quản|Sỏi bàng quang|Sỏi niệu quản|Sỏi thận|Thận đa nang|Thận ứ nước|Ung thư bàng quang|Bệnh nang thận
63,Ngoại Tiêu hoá,"Áp xe gan|Áp xe gan do amip|Áp xe hậu môn|Chấn thương lách|Giãn tĩnh mạch thực quản|Hẹp thực quản|Polyp ống tiêu hóa|Polyp túi mật|Sa trực tràng|Sỏi mật|U lành thực quản|U mạch máu gan|U nhầy ruột thừa|U thực quản (polyp thực quản lành tính)|Viêm hậu môn|Bệnh Xơ gan mất bù|Lao ruột, phúc mạc và mạc treo các tuyến (lao bụng)|Lao màng bụng|Bệnh lao ruột|Gan nhiễm mỡ"
64,Ngoại Tim mạch,Bệnh giãn tĩnh mạch chi dưới|Giãn tĩnh mạch chân|Hẹp động mạch cảnh|Hẹp động mạch phổi|Hẹp eo động mạch chủ|Hẹp van động mạch chủ|Bệnh hẹp van hai lá|Phình động mạch chủ|Còn ống động mạch|Bệnh Hở van động mạch chủ|Hở van 2 lá|U tim|Bệnh xơ vữa động mạch ngoại biên
28,Nhi,Bại não|Bại liệt|Bệnh Rubella|Bệnh sởi|Bệnh quai bị|Câm|Chậm nói|Suy giáp bẩm sinh|Hở hàm ếch|Rối loạn tăng động giảm chú ý (ADHD)|Sốt phát ban|Sốt siêu vi|Bệnh Down|Thiểu năng trí tuệ
77,Nhi Tim mạch,Bệnh thấp tim|Bệnh Thấp tim
5,Nội Cơ xương khớp,"Bệnh Gout|Bệnh Still ở người lớn|Viêm khớp|Viêm khớp dạng thấp|Viêm khớp phản ứng|Viêm cơ, áp xe cơ|Bệnh hẹp ống sống|Tê bì tay chân|Bệnh chân voi|Bệnh giun chỉ|Bệnh loạn dưỡng cơ Duchenne"
